Reservoir,Site,Date,Rep,Start_time,End_time,Temp_C,CO2Slope_ppmS,CO2_R2,CO2Flux_umolCm2s,CH4Slope_ppmS,CH4_R2,CH4Flux_umolCm2s,Flag_CO2Flux_umolCm2s,Flag_CH4Flux_umolCm2s,Flag_Start_time,Flag_End_time
FCR,50,2025-02-24,1,11:30:00,11:33:00,18.65,0.004,0.54,0.024,0,0.86,0,1,1,0,0
FCR,50,2025-02-24,2,11:35:00,11:39:00,18.84,0.013,0.7,0.078,0,0.7,0,1,1,0,0
FCR,50,2025-03-10,1,12:59:00,13:02:00,21.09,-0.003,0.39,-0.018,0,0.98,0,1,0,0,0
FCR,50,2025-03-10,2,13:05:00,13:09:00,21.21,-0.001,0.02,-0.006,0,0.91,0,1,0,0,0
FCR,50,2025-03-17,1,10:36:00,10:40:00,18.68,0.018,0.97,0.108,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-03-17,2,10:41:00,10:45:00,17.96,0.014,0.9,0.084,0.001,0.95,0.006,0,0,0,0
FCR,50,2025-03-17,3,11:10:00,11:13:00,15,0.006,0.66,0.036,0,0.95,0,1,0,0,0
FCR,50,2025-03-17,4,11:15:00,11:19:00,14.98,0.012,0.85,0.073,0.001,0.99,0.006,1,0,0,0
FCR,50,2025-03-24,1,11:20:00,11:23:00,18.88,0.007,0.76,0.042,0,0.98,0,1,0,0,0
FCR,50,2025-03-24,2,11:27:00,11:31:00,19.05,0.004,0.57,0.024,0,0.98,0,1,0,0,0
FCR,50,2025-03-31,1,14:20:00,14:23:00,28.07,-0.024,0.97,-0.14,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-03-31,2,14:27:00,14:31:00,29.06,-0.015,0.81,-0.087,0.001,0.83,0.006,1,1,0,0
FCR,50,2025-04-07,1,12:00:00,12:03:00,21.44,-0.001,0.02,-0.006,0,0.87,0,1,1,1,1
FCR,50,2025-04-07,2,12:00:00,12:04:00,21.57,-0.003,0.45,-0.018,0,0.92,0,1,0,1,1
FCR,50,2025-04-14,1,11:40:00,11:43:00,24.28,0.004,0.47,0.024,0.002,0.98,0.012,1,0,0,0
FCR,50,2025-04-14,2,11:48:00,11:51:00,25.97,0.004,0.51,0.023,0.002,0.97,0.012,1,0,0,0
FCR,50,2025-04-21,1,11:17:00,11:20:00,28.19,-0.016,0.92,-0.093,0.003,0.99,0.017,0,0,0,0
FCR,50,2025-04-21,2,11:23:00,11:27:00,29.23,-0.014,0.9,-0.081,0.002,0.97,0.012,0,0,0,0
FCR,50,2025-04-28,1,11:25:00,11:28:00,22.74,0.013,0.92,0.077,0.001,0.99,0.006,0,0,0,0
FCR,50,2025-04-28,2,11:32:00,11:36:00,23.75,0.019,0.96,0.112,0.002,0.99,0.012,0,0,0,0
FCR,50,2025-05-05,1,11:24:00,11:27:00,25.39,0.042,0.97,0.247,0.006,0.98,0.035,0,0,0,0
FCR,50,2025-05-05,2,11:35:00,11:39:00,26.7,0.022,0.95,0.129,0.003,0.98,0.018,0,0,0,0
FCR,50,2025-05-19,1,12:49:00,12:52:00,32.44,-0.016,0.91,-0.092,0.001,0.97,0.006,0,0,0,0
FCR,50,2025-05-19,2,12:57:00,13:01:00,32.98,-0.038,0.96,-0.218,0.002,0.98,0.011,0,0,0,0
FCR,50,2025-05-26,1,12:00:00,12:03:00,20.63,-0.041,0.99,-0.245,0.001,0.99,0.006,0,0,1,1
FCR,50,2025-05-26,2,12:00:00,12:04:00,21.09,-0.072,0.99,-0.429,0.001,0.99,0.006,0,0,1,1
FCR,50,2025-06-02,1,09:26:00,09:29:00,21.01,-0.034,0.98,-0.203,0,0.97,0,0,0,0,0
FCR,50,2025-06-02,2,09:33:00,09:37:00,22.35,-0.033,0.99,-0.196,0,0.99,0,0,0,0,0
FCR,50,2025-06-09,1,11:14:00,11:17:00,30.27,-0.053,0.99,-0.306,0.001,0.97,0.006,0,0,0,0
FCR,50,2025-06-09,2,11:22:00,11:26:00,31.49,-0.047,0.99,-0.27,0,0.96,0,0,0,0,0
FCR,50,2025-06-16,1,11:30:00,11:33:00,26.49,-0.075,0.99,-0.439,0.004,0.99,0.023,0,0,0,0
FCR,50,2025-06-16,2,11:36:00,11:40:00,27.35,-0.073,0.99,-0.426,0.004,0.99,0.023,0,0,0,0
FCR,50,2025-06-23,1,10:35:00,10:38:00,31.32,-0.029,0.96,-0.167,0.001,0.91,0.006,0,0,0,0
FCR,50,2025-06-23,2,10:42:00,10:46:00,33.08,-0.028,0.95,-0.16,0.002,0.93,0.011,0,0,0,0
