"Reservoir","Site","DateTime","CastID","Depth_m","GreenAlgae_ugL","Bluegreens_ugL","BrownAlgae_ugL","MixedAlgae_ugL","TotalConc_ugL","YellowSubstances_ugL","Temp_C","Transmission_perc","RFU_370nm","RFU_470nm","RFU_525nm","RFU_570nm","RFU_590nm","RFU_610nm","Flag_GreenAlgae_ugL","Flag_Bluegreens_ugL","Flag_BrownAlgae_ugL","Flag_MixedAlgae_ugL","Flag_YellowSubstances_ugL","Flag_TotalConc_ugL","Flag_Temp_C","Flag_Transmission_perc","Flag_RFU_525nm","Flag_RFU_570nm","Flag_RFU_610nm","Flag_RFU_370nm","Flag_RFU_590nm","Flag_RFU_470nm"
"FCR",50,2025-02-10 07:17:56,1271,0.24,9.16,0,10.74,1.08,20.98,0.01,6.7,83.19,51.7,77.73,31.8,8.07,25.61,20.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:17:59,1271,0.34,10.56,0,11.94,0.62,23.12,0,6.93,83.46,54.91,86.68,33.38,6.83,27.2,21.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:02,1271,0.39,11.69,0,12.64,0.58,24.91,0,6.76,83.23,59.29,92.9,35.43,7.66,27.94,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:04,1271,0.48,11.41,0,13.78,0.26,25.44,0,7.19,83.09,60.6,95.24,36.9,6.41,27.93,23.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:07,1271,0.59,10.28,0,15.86,0.32,26.45,0,7.21,83.89,63.24,100.16,40.82,7.91,29.12,24.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:10,1271,0.7,12.15,0,16.28,0.56,28.99,0,6.91,83.27,67.85,109.93,43.21,8.24,31.9,27.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:13,1271,0.75,12.71,0,16.99,0.4,30.1,0,5.89,83.54,69.52,114.74,44.26,8.91,32.27,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:15,1271,0.84,12.59,0,17.65,0.13,30.37,0,6.26,83.38,71.41,115.19,45.08,8.7,32.13,28.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:18,1271,1,12.88,0,18.68,0.6,32.16,0,6.16,83.81,75.12,122.56,48.65,9.98,34.97,30.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:21,1271,1.12,14.54,0,18.41,0.55,33.5,0,5.92,83.45,77.81,127.03,48.85,9.16,36.13,31.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:23,1271,1.19,13.29,0,20.09,0.38,33.76,0,5.97,83.8,78.1,129.58,50.99,9.77,36.79,30.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:26,1271,1.32,13.31,0,20.78,0.29,34.39,0,5.81,83.45,79.65,131.94,52.33,9.39,36.87,32.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:29,1271,1.44,14.58,0,20.99,0.4,35.98,0,5.76,83.84,83.11,137.58,53.69,10.82,37.73,34.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:32,1271,1.51,14.5,0,21.39,0.2,36.1,0,5.93,83.4,84.2,137.57,54.15,10.19,37.52,33.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:34,1271,1.6,14.44,0,21.55,0.36,36.35,0,5.84,83.8,84.66,138.75,54.85,10.82,38.06,34.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:37,1271,1.67,14.68,0,22.19,0.1,36.98,0,5.84,83.83,85.62,141.56,55.46,10.48,38.2,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:40,1271,1.76,13.82,0,22.07,0.23,36.13,0,6.04,83.77,83.4,139.02,55,10.56,38.25,33.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:43,1271,1.89,14.52,0,21.48,0.51,36.51,0,6.11,83.61,84.45,139.78,55.01,11.25,38.59,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:45,1271,2.03,14.22,0,21.28,0.48,35.99,0,6.01,83.62,83.17,137.88,54.35,10.8,38.21,34.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:48,1271,2.06,15.25,0,21.42,0.31,36.98,0,5.63,83.73,85.32,141.31,54.64,10.92,38.49,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:50,1271,2.16,14.62,0,21.41,0.41,36.44,0,5.82,84.08,84.64,139.07,54.83,10.18,38.39,34.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:53,1271,2.25,14.79,0,22.03,0.38,37.2,0,5.96,83.31,86.52,142.07,56.04,11.52,38.7,35.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:56,1271,2.37,14.43,0,22.32,0.15,36.91,0,6.03,83.47,85.43,141.54,55.74,10.14,38.74,34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,2025-02-10 07:18:59,1271,2.48,14.86,0,21.56,0.38,36.81,0,5.94,83.62,85.52,140.46,55.1,10.97,38.55,34.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0
