"Reservoir","Date","Site","Duration_days","Depth_m","TrapRep","TrapXSA_m2","TrapVol_L","CollectionVol_L","FilterRep","FilterVol_L","FilterMassPre_g","FilterMassPost_g","SedMass_g","SedFlux_gm2d","FilterID","Flag_CollectionVol_L","Flag_SedMass_g","Flag_Duration_days"
"FCR",2018-05-21,50,14,4,1,0.0040715,1.8,1.7,1,0.2,0.15815,0.16937,0.01122,1.67312854160453,"F_Sed_4m_R1_F1_21May18",2,1,2
"FCR",2018-05-21,50,14,4,1,0.0040715,1.8,1.7,2,0.202,0.16,0.17248,0.01248,1.84259404168869,"F_Sed_4m_R1_F2_21May18",2,1,2
"FCR",2018-05-21,50,14,4,2,0.0040715,1.8,1.7,4,0.197,0.159,0.17119,0.01219,1.84545698147428,"F_Sed_4m_R2_F4_21May18",2,1,2
"FCR",2018-05-21,50,14,4,2,0.0040715,1.8,1.7,5,0.197,0.15643,0.16766,0.01123,1.70012156701855,"F_Sed_4m_R2_F5_21May18",2,1,2
"FCR",2018-05-28,50,14,8,1,0.0040715,1.8,1.7,1,0.151,0.16138,0.16874,0.00736,1.45367497328675,"F_Sed_8m_R1_F1_28May18",2,1,1
"FCR",2018-05-28,50,14,8,1,0.0040715,1.8,1.7,2,0.149,0.15865,0.16623,0.00757999999999998,1.5172228816426,"F_Sed_8m_R1_F2_28May18",2,1,1
"FCR",2018-05-28,50,14,8,2,0.0040715,1.8,1.7,3,0.149,0.15971,0.16769,0.00798000000000001,1.59728741365541,"F_Sed_8m_R2_F3_28May18",2,1,1
"FCR",2018-05-28,50,14,8,2,0.0040715,1.8,1.7,4,0.149,0.15971,0.16621,0.00650000000000001,1.30104864520804,"F_Sed_8m_R2_F4_28May18",2,1,1
"FCR",2018-06-04,50,14,4,1,0.0040715,1.8,1.7,1,0.1,0.16143,0.17385,0.01242,3.7041455413063,"F_Sed_4m_R1_F1_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,1,0.0040715,1.8,1.7,2,0.099,0.16051,0.17383,0.01332,4.01268877260526,"F_Sed_4m_R1_F2_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,2,0.0040715,1.8,1.7,3,0.101,0.1585,0.16952,0.01102,3.2540683236233,"F_Sed_4m_R2_F3_04Jun18",2,1,1
"FCR",2018-06-04,50,14,4,2,0.0040715,1.8,1.7,4,0.101,0.15846,0.17163,0.01317,3.88893646298719,"F_Sed_4m_R2_F4_04Jun18",2,1,1
"FCR",2018-06-11,50,14,8,1,0.0040715,1.8,1.7,1,0.1,0.15742,0.16646,0.00903999999999999,2.6960930509991,"F_Sed_8m_R1_F1_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,1,0.0040715,1.8,1.7,2,0.101,0.156,0.16458,0.00858,2.53356680732195,"F_Sed_8m_R1_F2_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,2,0.0040715,1.8,1.7,3,0.099,0.15608,0.16475,0.00867000000000001,2.6118627371237,"F_Sed_8m_R2_F3_11Jun18",2,1,1
"FCR",2018-06-11,50,14,8,2,0.0040715,1.8,1.7,4,0.101,0.1566,0.16532,0.00872,2.57490705825727,"F_Sed_8m_R2_F4_11Jun18",2,1,1
"FCR",2018-06-25,50,21,4,1,0.0040715,1.8,1.7,1,0.085,0.15605,0.15941,0.00336,0.785951123664498,"F_Sed_4m_R1_F1_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,1,0.0040715,1.8,1.7,2,0.087,0.15558,0.1594,0.00381999999999999,0.873010159598596,"F_Sed_4m_R1_F2_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,2,0.0040715,1.8,1.7,3,0.084,0.15574,0.15866,0.00292000000000001,0.691160249764486,"F_Sed_4m_R2_F3_25Jun18",2,1,1
"FCR",2018-06-25,50,21,4,2,0.0040715,1.8,1.7,4,0.086,0.15884,0.1617,0.00286,0.661215109921233,"F_Sed_4m_R2_F4_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,1,0.0040715,1.8,1.7,5,0.08,0.15834,0.16292,0.00458,1.70742618550552,"F_Sed_8m_R1_F5_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,1,0.0040715,1.8,1.7,6,0.079,0.15851,0.16272,0.00420999999999999,1.58935697108578,"F_Sed_8m_R1_F6_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,2,0.0040715,1.8,1.7,7,0.079,0.15727,0.16228,0.00501000000000001,1.89137254753914,"F_Sed_8m_R2_F7_25Jun18",2,1,1
"FCR",2018-06-25,50,14,8,2,0.0040715,1.8,1.7,8,0.08,0.15858,0.16422,0.00564000000000001,2.10259469132121,"F_Sed_8m_R2_F8_25Jun18",2,1,1
"FCR",2018-07-02,50,7,4,1,0.0040715,1.8,1.7,1,0.15,0.15767,0.15946,0.00178999999999999,0.711800377771145,"F_Sed_4m_R1_F1_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,1,0.0040715,1.8,1.7,2,0.15,0.15564,0.15867,0.00303,1.20489114226066,"F_Sed_4m_R1_F2_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,2,0.0040715,1.8,1.7,3,0.153,0.15521,0.158211,0.003001,1.16995998120891,"F_Sed_4m_R2_F3_02Jul18",2,1,1
"FCR",2018-07-02,50,7,4,2,0.0040715,1.8,1.7,4,0.15,0.15709,0.1603,0.00320999999999999,1.2764688338801,"F_Sed_4m_R2_F4_02Jul18",2,1,1
"FCR",2018-07-09,50,14,8,1,0.0040715,1.8,1.7,1,0.1,0.15788,0.1632,0.00532000000000002,1.58663883089771,"F_Sed_8m_R1_F1_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,1,0.0040715,1.8,1.7,2,0.1,0.15583,0.16569,0.00986000000000001,2.94065016403221,"F_Sed_8m_R1_F2_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,2,0.0040715,1.8,1.7,3,0.098,0.16031,0.16388,0.00356999999999999,1.08644710493801,"F_Sed_8m_R2_F3_09Jul18",2,1,1
"FCR",2018-07-09,50,14,8,2,0.0040715,1.8,1.7,4,0.1,0.159,0.1634,0.00439999999999999,1.31225767968983,"F_Sed_8m_R2_F4_09Jul18",2,1,1
"FCR",2018-07-16,50,14,4,1,0.0040715,1.8,1.7,1,0.076,0.15572,0.15801,0.00229000000000001,0.898645360792383,"F_Sed_4m_R1_F1_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,1,0.0040715,1.8,1.7,2,0.075,0.15558,0.1579,0.00232000000000002,0.92255691420619,"F_Sed_4m_R1_F2_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,2,0.0040715,1.8,1.7,3,0.077,0.15495,0.15771,0.00275999999999998,1.06901747223846,"F_Sed_4m_R2_F3_16Jul18",2,1,1
"FCR",2018-07-16,50,14,4,2,0.0040715,1.8,1.7,4,0.075,0.15688,0.15932,0.00244,0.970275375285813,"F_Sed_4m_R2_F4_16Jul18",2,1,1
"FCR",2018-07-23,50,14,8,1,0.0040715,1.8,1.7,1,0.05,0.15574,0.1613,0.00556000000000001,3.3164330450343,"F_Sed_8m_R1_F1_23Jul18",2,1,1
"FCR",2018-07-23,50,14,8,1,0.0040715,1.8,1.7,2,0.051,0.15399,0.15884,0.00485000000000002,2.83620755191431,"F_Sed_8m_R1_F2_23Jul18",2,1,1
"FCR",2018-07-23,50,14,8,2,0.0040715,1.8,1.7,3,0.053,0.15462,0.16027,0.00564999999999999,3.17935501297064,"F_Sed_8m_R2_F3_23Jul18",2,1,1
"FCR",2018-07-23,50,14,8,2,0.0040715,1.8,1.7,4,0.052,0.15362,0.16027,0.00664999999999999,3.8140356511964,"F_Sed_8m_R2_F4_23Jul18",2,1,1
"BVR",2018-08-02,50,14,8,1,0.0040715,1.8,1.7,1,0.055,0.15822,0.1625,0.00428000000000001,2.32085242523656,"B_Sed_8m_R1_F1_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,1,0.0040715,1.8,1.7,2,0.056,0.1575,0.16222,0.00472,2.51374036044481,"B_Sed_8m_R1_F2_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,2,0.0040715,1.8,1.7,3,0.066,0.1589,0.16398,0.00507999999999997,2.29554718072462,"B_Sed_8m_R2_F3_02Aug18",2,1,1
"BVR",2018-08-02,50,14,8,2,0.0040715,1.8,1.7,4,0.059,0.15909,0.16452,0.00542999999999999,2.74482249642364,"B_Sed_8m_R2_F4_02Aug18",2,1,1
"FCR",2018-08-13,50,21,8,1,0.0040715,1.8,1.7,1,0.046,0.16076,0.16372,0.00296000000000002,1.27940801445386,"F_Sed_8m_R1_F1_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,1,0.0040715,1.8,1.7,2,0.053,0.15915,0.16352,0.00436999999999999,1.6393842367766,"F_Sed_8m_R1_F2_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,2,0.0040715,1.8,1.7,3,0.086,0.15617,0.161,0.00483,1.116667475846,"F_Sed_8m_R2_F3_13Aug18",2,1,1
"FCR",2018-08-13,50,21,8,2,0.0040715,1.8,1.7,4,0.051,0.16111,0.16603,0.00492000000000001,1.91809500418122,"F_Sed_8m_R2_F4_13Aug18",2,1,1
"FCR",2018-08-20,50,35,4,1,0.0040715,1.8,1.7,1,0.087,0.16162,0.166603,0.00498299999999999,0.683278998735048,"F_Sed_4m_R1_F1_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,1,0.0040715,1.8,1.7,2,0.068,0.156,0.1666,0.0106,1.85961649795618,"F_Sed_4m_R1_F2_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,2,0.0040715,1.8,1.7,3,0.076,0.15752,0.16035,0.00283,0.444221200182084,"F_Sed_4m_R2_F3_20Aug18",2,1,1
"FCR",2018-08-20,50,35,4,2,0.0040715,1.8,1.7,4,0.08,0.15764,0.16199,0.00434999999999999,0.648672830301222,"F_Sed_4m_R2_F4_20Aug18",2,1,1
"FCR",2018-08-27,50,14,8,1,0.0040715,1.8,1.7,1,0.05,0.16083,0.1674,0.00656999999999999,3.91887861616462,"F_Sed_8m_R1_F1_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,1,0.0040715,1.8,1.7,2,0.05,0.15933,0.16548,0.00614999999999999,3.66835669549656,"F_Sed_8m_R1_F2_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,2,0.0040715,1.8,1.7,3,0.05,0.15851,0.1636,0.00508999999999998,3.03608708619146,"F_Sed_8m_R2_F3_27Aug18",2,1,1
"FCR",2018-08-27,50,14,8,2,0.0040715,1.8,1.7,4,0.052,0.1586,0.16367,0.00507000000000002,2.90784372203998,"F_Sed_8m_R2_F4_27Aug18",2,1,1
"FCR",2018-09-03,50,14,4,1,0.0040715,1.8,1.7,1,0.072,0.15585,0.15847,0.00262000000000001,1.08526361135965,"F_Sed_4m_R1_F1_03Sep18",2,1,1
"FCR",2018-09-03,50,14,4,1,0.0040715,1.8,1.7,2,0.07,0.15423,0.15702,0.00278999999999999,1.18870095010864,"F_Sed_4m_R1_F2_03Sep18",2,1,1
