"Reservoir","Site","DateTime","Flow_cms","Method","Flag_DateTime","Flag_Flow_cms"
"FCR",200,2023-04-04 12:00:00,0.01267,"F",1,0
"CCR",201,2023-05-04 12:00:00,0.09853,"F",1,0
"CCR",500,2023-05-04 12:00:00,0.01055,"F",1,0
"CCR",400,2023-05-04 12:00:00,0.00679,"F",1,0
"CCR",301,2023-05-04 12:00:00,0.08686,"F",1,0
"CCR",400,2023-05-04 12:00:00,0.0140119760479042,"V",1,0
"CCR",101,2023-06-01 12:00:00,0.01262,"F",1,0
"CCR",300,2023-06-01 12:00:00,0.02286,"F",1,0
"CCR",300,2023-06-30 12:00:00,0.01459,"F",1,0
"CCR",101,2023-06-30 12:00:00,0.00306,"F",1,0
"FCR",200,2023-07-24 12:00:00,0.014895,"F",1,0
"FCR",200,2023-12-04 12:00:00,0.00559,"F",1,0
"FCR",1,2024-04-15 12:00:00,0.05097,"F",1,0
"CCR",101,2024-04-23 12:00:00,0.01413,"F",1,0
"FCR",200,2024-05-13 12:00:00,0.00626,"F",1,0
"FCR",1,2024-05-13 12:00:00,0.0112,"F",1,0
"CCR",101,2024-05-22 12:00:00,0.00994,"F",1,0
"FCR",1,2024-05-27 12:00:00,0.0413225,"F",1,0
"FCR",1,2024-06-03 12:00:00,0.01221,"F",1,0
"FCR",1,2024-06-17 12:00:00,0.0060675,"F",1,0
"CCR",101,2024-06-19 12:00:00,0.00388,"F",1,0
"FCR",1,2024-06-24 12:00:00,0.00544,"F",1,0
"FCR",1,2024-07-01 12:00:00,0.002115,"F",1,0
"FCR",1,2024-07-08 12:00:00,0.00182,"F",1,0
"CCR",101,2024-07-11 12:00:00,0.0028,"F",1,0
"FCR",1,2024-07-15 12:00:00,0.00119,"F",1,0
"FCR",1,2024-07-22 12:00:00,0.00431,"F",1,0
"FCR",1,2024-07-29 12:00:00,0.00486,"F",1,0
"FCR",200,2024-07-29 12:00:00,0.002735,"F",1,0
"FCR",1,2024-08-05 12:00:00,0.00909,"F",1,0
"FCR",1,2024-08-12 12:00:00,0.01382,"F",1,0
"CCR",101,2024-08-14 12:00:00,0.00171,"F",1,0
"FCR",1,2024-08-19 12:00:00,0.007485,"F",1,0
"FCR",1,2024-08-26 12:00:00,0,"F",1,0
"FCR",200,2024-09-02 12:00:00,0.0028,"F",1,0
"FCR",1,2024-09-02 12:00:00,0.005805,"F",1,0
"FCR",1,2024-09-09 12:00:00,0.001,"F",1,0
"CCR",101,2024-09-16 12:00:00,0,"F",1,0
"CCR",101,2024-09-30 12:00:00,0.01796,"F",1,0
"FCR",101,2024-10-01 12:00:00,0.05337,"F",1,0
"CCR",101,2024-10-28 12:00:00,5e-04,"F",1,0
"CCR",101,2024-12-17 12:00:00,0.02773,"F",1,0
