Reservoir,Site,DateTime,Flow_cms,Method,Flag_DateTime,Flag_Flow_cms
CCR,101,2026-02-17 12:30:00,0.04533,F,0,0
CCR,301,2026-03-03 13:03:00,0.02852,F,0,0
CCR,101,2026-03-03 14:55:00,0.00796,F,0,0
CCR,301,2026-03-31 12:45:00,0.025210000000000003,F,0,0
CCR,500,2026-03-31 13:40:00,0.06261,F,0,0
FCR,200,2026-04-06 10:20:00,0.00595,F,0,0
CCR,301,2026-04-14 10:07:00,0.01628,F,0,0
CCR,101,2026-04-28 11:30:00,0.00453,F,0,0
CCR,301,2026-04-28 15:15:00,0.01106,F,0,0
CCR,101,2026-05-14 11:40:00,0.0026500000000000004,F,0,0
CCR,301,2026-05-14 13:55:00,0.0041,F,0,0
CCR,301,2026-05-21 11:18:00,0.00204,F,0,0
CCR,101,2026-05-21 13:19:00,0.0012900000000000001,F,0,0
CCR,101,2026-05-28 13:20:00,0.00132,F,0,0
CCR,301,2026-05-28 17:09:00,0.011760000000000001,F,0,0
CCR,301,2026-06-04 10:50:00,0.00476,F,0,0
CCR,101,2026-06-04 13:15:00,0.00108,F,0,0
FCR,200,2026-06-08 10:45:00,0.00283,F,0,0
CCR,101,2026-06-11 10:05:00,0.0021000000000000003,F,0,0
CCR,301,2026-06-11 12:05:00,0.00251,F,0,0
CCR,301,2026-06-11 12:34:00,2.2000000000000003e-4,F,0,0
CCR,101,2026-06-18 09:53:00,8e-4,F,0,0
CCR,301,2026-06-18 11:01:00,0.0021550000000000002,F,0,0
CCR,101,2026-06-25 13:05:00,1.7999999999999998e-4,F,0,0
CCR,301,2026-06-25 10:20:00,5.95e-4,F,0,0
CCR,301,2026-07-02 11:24:00,0.005805,F,0,0
CCR,101,2026-07-02 13:10:00,5.05e-4,F,0,0
