"Reservoir","Site","Depth_m","field_date","lab_date","field_vial_number","notes"
"FCR",50,1.6,2024-03-25,2024-03-26,172,"leaked during HS creation"
"FCR",50,3.8,2024-04-15,2024-04-17,328,"Moisture interfered with CO2 peak. CO2 data not useable, but CH4 is ok."
"FCR",50,0.1,2024-04-22,2024-04-23,397,"large air bubble"
"FCR",50,1.6,2024-04-22,2024-04-23,86,"large air bubble"
"BVR",1.3,0.1,2024-04-29,2024-04-30,292,"Slight air bubble; use with caution"
"FCR",100,0.1,2024-04-29,2024-04-30,363,"Slight air bubble; use with caution"
"FCR",1.1,0.1,2024-04-29,2024-04-30,265,"Slight air bubble; use with caution"
"BVR",50,9,2024-04-29,2024-04-30,410,"Leaked during headspace creation"
"BVR",50,3,2024-05-06,2024-05-07,271,"Extra peaks detected on GC. Not sure if this affects CO2 or CH4."
"FCR",100,0.1,2024-05-06,2024-05-08,166,"Not refrigerated."
"FCR",100,0.1,2024-05-06,2024-05-08,88,"Not refrigerated."
"BVR",50,9,2024-05-06,2024-05-08,238,"Data from first injection not saved due to GC error. This is a re-sample, so headspace volume is different."
"FCR",1.1,0.1,2024-05-13,2024-05-14,247,"slight bubble"
"FCR",50,9,2024-05-13,2024-05-14,44,"slight bubble"
"FCR",50,3.8,2024-05-13,2024-05-14,188,"slight bubble"
"FCR",50,0.1,2024-05-13,2024-05-14,388,"slight bubble"
"BVR",50,0.1,2024-05-13,2024-05-14,38,"slight bubble"
"FCR",50,3.8,2024-05-20,2024-05-21,228,"slight bubble"
"FCR",50,6.2,2024-05-20,2024-05-21,410,"slight bubble"
"FCR",50,5,2024-05-31,2024-05-31,21,"moisture (?) peak interfering with CO2 peak. CH4 should be okay."
"FCR",100,0.1,2024-06-17,2024-06-18,247,"big air bubble"
"FCR",100,0.1,2024-06-17,2024-06-18,148,"big air bubble"
"BVR",50,0.1,2024-07-15,2024-07-16,106,"CO2 peak barely visible; manually delineated"
"FCR",50,1.6,2024-08-12,2024-08-13,24,"air bubble in sample"
"FCR",1.1,0.1,2024-08-26,2024-08-27,97,"CO2 value is wrong- moisture problems. CH4 is safe to use."
"FCR",50,5,2024-09-02,2024-09-03,127,"Tried to reintegrate CO2 on top of moisture peak- maybe ok. CH4 is ok."
"FCR",50,8,2024-09-02,2024-09-03,79,"Tried to reintegrate CO2 on top of moisture peak- maybe ok. CH4 is ok."
"FCR",50,3.8,2024-09-02,2024-09-03,337,"Tried to reintegrate CO2 on top of moisture peak- maybe ok. CH4 is ok."
"FCR",200,0.1,2024-09-02,2024-09-03,345,"CO2 may be bad. CH4 is ok."
"FCR",100,0.1,2024-11-19,2024-11-20,147,"large air bubble in sample"
