"com_date","miss","field_date","lab_date","upper_date","field_vial_number","lab_vial_number"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"257"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"386"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"80"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"340"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"396"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"133"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"413"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"186"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"319"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"358"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"251"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"178"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"233"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"318"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"373"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"326"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"414"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"59"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"74"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"321"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"356"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"304"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"69"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"68"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"111"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"393"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"228"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"90"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"381"
2023-12-05,"no_field_obs",NA,2023-12-05,NA,NA,"113"
2024-01-29,"no_lab_obs",2024-01-29,NA,2024-02-02,305,NA
2024-02-13,"no_lab_obs",2024-02-13,NA,2024-02-17,82,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,193,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,415,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,206,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,203,NA
2024-03-05,"no_lab_obs",2024-03-05,NA,2024-03-09,196,NA
2024-04-22,"no_lab_obs",2024-04-22,NA,2024-04-26,277,NA
2024-07-08,"no_lab_obs",2024-07-08,NA,2024-07-12,228,NA
2024-08-20,"no_field_obs",NA,2024-08-20,NA,NA,"62"
2024-08-20,"no_field_obs",NA,2024-08-20,NA,NA,"215"
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,358,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,106,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,282,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,177,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,348,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,267,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,122,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,385,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,270,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,399,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,179,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,407,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,217,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,41,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,96,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,253,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,147,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,334,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,92,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,21,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,8,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,88,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,97,NA
2024-08-26,"no_lab_obs",2024-08-26,NA,2024-08-30,129,NA
