Reservoir,Site,DateTime,Depth_m,Rep,RunDate,NH4_ugL,PO4_ugL,NO3NO2_ugL,Notes_lachat,SampleID_lachat
BVR,40,7/18/22 10:23,0.1,1,8/10/22,263,8.8,10.2,,B40 18jul22 0.1
BVR,40,7/18/22 10:38,3,1,8/10/22,227,11,7.5,,B40 18jul22 3.0
BVR,50,8/8/22 10:00,0.1,1,8/10/22,5,5.3,0.5,,B50 08aug22 0.1
BVR,50,8/8/22 10:08,3,1,8/10/22,0.4,8.8,0.3,,B50 08aug22 3.0
BVR,50,8/8/22 10:16,6,1,8/10/22,944,42.9,5,,B50 08aug22 6.0
BVR,50,7/18/22 11:06,0.1,1,8/10/22,261,4.8,9.4,,B50 18jul22 0.1
BVR,50,7/18/22 11:31,3,1,8/10/22,91.7,6.6,3.9,,B50 18jul22 3.0
BVR,50,7/18/22 11:46,6,1,8/10/22,812,16.6,2.6,,B50 18jul22 6.0
BVR,50,7/18/22 11:54,8,1,8/10/22,1650,10.2,2.6,,B50 18jul22 8.0
BVR,50,7/25/22 10:01,0.1,1,8/10/22,141,6.5,10.4,,B50 25jul22 0.1
BVR,50,7/25/22 10:05,3,1,8/10/22,66.4,6.3,7.2,,B50 25jul22 3.0
BVR,50,7/25/22 10:14,6,1,8/10/22,1230,12.4,3.2,,B50 25jul22 6.0
BVR,50,7/25/22 10:33,8,1,8/10/22,1870,13.1,3.8,,B50 25jul22 8.0
CCR,50,7/14/22 10:26,0.1,1,8/10/22,2.2,2.9,0.9,,C 14jul22 0.1
CCR,50,7/14/22 12:00,6,1,8/10/22,6.7,3.7,1.5,Flag_DateTime,C 14jul22 6.0
CCR,50,7/14/22 12:00,9,1,8/10/22,7.5,2.2,9.1,Flag_DateTime,C 14jul22 9.0
CCR,50,7/28/22 10:43,21,1,8/10/22,305,11.7,32.5,,C50 28jul20.0
CCR,50,7/28/22 9:43,0.1,1,8/10/22,1.1,2.6,-0.2,,C50 28jul22 0.1
CCR,50,7/28/22 10:00,1.5,1,8/10/22,3.3,4,0.6,,C50 28jul22 1.5
CCR,50,7/28/22 10:30,15,1,8/10/22,5.4,7.5,78.4,,C50 28jul22 15.0
CCR,50,7/28/22 10:10,6,1,8/10/22,4.2,2.4,0.3,,C50 28jul22 6.0
CCR,50,7/28/22 10:18,9,1,8/10/22,9.6,5.1,23.1,,C50 28jul22 9.0
FCR,50,8/1/22 11:13,8,1,8/10/22,702,6.4,2.4,,F 01aug22 8.0
FCR,50,7/11/22 10:08,1.6,1,8/10/22,41.8,9.6,1.1,,F 11jul22 1.6
FCR,50,7/11/22 10:25,3.8,1,8/10/22,145,8,1.3,,F 11jul22 3.8
FCR,100,7/18/22 10:00,0.1,1,8/10/22,17.6,19.4,248,,F 18jul22 weir
FCR,200,7/18/22 10:00,0.1,1,8/10/22,47.9,9.5,31.2,,F 18jul22 wet
FCR,100,7/5/22 10:11,0.1,1,8/10/22,27.2,11.9,531,,F100 05jul0.1
FCR,50,7/18/22 10:46,0.1,1,8/10/22,41.2,12.8,7.3,,F50 18jul22 0.1
FCR,50,7/18/22 11:00,3.8,1,8/10/22,122,6.4,2.8,,F50 18jul22 3.8
FCR,50,7/18/22 11:08,5,1,8/10/22,291,7.2,4.3,,F50 18jul22 5.0
FCR,50,7/18/22 11:18,6.2,1,8/10/22,445,6.5,3.3,,F50 18jul22 6.2
FCR,50,7/18/22 11:30,9,1,8/10/22,408,5.3,1.4,,F50 18jul22 9.0
FCR,50,7/25/22 9:39,0.1,1,8/10/22,10,8,0.4,,F50 25jul22 0.1
FCR,50,7/25/22 9:54,1.6,1,8/10/22,20.4,8,2.5,,F50 25jul22 1.6
FCR,50,7/25/22 10:11,3.8,1,8/10/22,50.4,7.6,5,,F50 25jul22 3.8
FCR,50,7/25/22 10:22,5,1,8/10/22,359,7.3,1.2,,F50 25jul22 5.0
FCR,50,7/25/22 10:49,6.2,1,8/10/22,430,7.4,4.9,,F50 25jul22 6.2
FCR,50,7/25/22 11:07,8,1,8/10/22,530,6.7,2.2,,F50 25jul22 8.0
FCR,50,7/25/22 11:25,9,1,8/10/22,623,8.7,13.8,,F50 25jul22 9.0
