"file","scan"
"../RawDownloads/091520_fcr50.cnv",550
"../RawDownloads/043018_fcr50.cnv",350
"../RawDownloads/091718_fcr50.cnv",85
"../RawDownloads/121718_fcr50.cnv",540
"../RawDownloads/120619_fcr50.cnv",15
"../RawDownloads/120619_bvr50.cnv",1
"../RawDownloads/120618_fcr50.cnv",15
"../RawDownloads/120618_bvr50.cnv",15
"../RawDownloads/112019_fcr50.cnv",0
"../RawDownloads/112019_fcr45.cnv",1
"../RawDownloads/112019_fcr30.cnv",2
"../RawDownloads/112019_fcr20.cnv",0
"../RawDownloads/111918_fcr50.cnv",35
"../RawDownloads/111618_bvr50.cnv",1
"../RawDownloads/111519_bvr50.cnv",0
"../RawDownloads/111318_fcr50.cnv",25
"../RawDownloads/110819_fcr50.cnv",20
"../RawDownloads/110819_fcr45.cnv",5
"../RawDownloads/110819_fcr30.cnv",0
"../RawDownloads/110819_fcr20.cnv",2
"../RawDownloads/110819_fcr10.cnv",22
"../RawDownloads/110718_fcr50.cnv",1
"../RawDownloads/110419_fcr50.cnv",35
"../RawDownloads/110218_fcr50.cnv",26
"../RawDownloads/110218_bvr50.cnv",0
"../RawDownloads/103019_fcr50.cnv",23
"../RawDownloads/103019_fcr45.cnv",10
"../RawDownloads/103019_fcr30.cnv",10
"../RawDownloads/103019_fcr20.cnv",15
"../RawDownloads/103019_fcr10.cnv",23
"../RawDownloads/102918_fcr50.cnv",10
"../RawDownloads/102918_fcr45.cnv",20
"../RawDownloads/102918_fcr30.cnv",15
"../RawDownloads/102918_fcr20.cnv",13
"../RawDownloads/102918_fcr10.cnv",7
"../RawDownloads/102819_fcr50.cnv",35
"../RawDownloads/102819_bvr50.cnv",0
"../RawDownloads/102519_fcr50.cnv",10
"../RawDownloads/102319_fcr50.cnv",33
"../RawDownloads/102319_fcr45.cnv",0
"../RawDownloads/102319_fcr30.cnv",0
"../RawDownloads/102319_fcr20.cnv",0
"../RawDownloads/102319_fcr10.cnv",0
"../RawDownloads/102219_fcr50.cnv",1
