"Reservoir","Site","SN","DateTime","Depth_m","Temp_C","DO_mgL","DOsat_percent","Cond_uScm","SpCond_uScm","Chla_ugL","Turbidity_NTU","pH","ORP_mV","PAR_umolm2s","DescRate_ms","Flag_DateTime","Flag_Temp_C","Flag_DO_mgL","Flag_DOsat_percent","Flag_Cond_uScm","Flag_SpCond_uScm","Flag_Chla_ugL","Flag_Turbidity_NTU","Flag_pH","Flag_ORP_mV","Flag_PAR_umolm2s","Flag_DescRate_ms"
"FCR",50,7809,2024-02-27 14:21:00,-0.101,7.57,NA,NA,NA,NA,NA,NA,NA,NA,120.63,0.017,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.1,7.5639,NA,NA,NA,NA,NA,NA,NA,NA,120.49,0.023,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.096,7.5589,NA,NA,NA,NA,NA,NA,NA,NA,118.83,0.027,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.085,7.5578,NA,NA,NA,NA,NA,NA,NA,NA,114.56,0.031,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.071,7.5398,NA,NA,NA,NA,NA,NA,NA,NA,111.89,0.037,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.062,7.5109,NA,NA,NA,NA,NA,NA,NA,NA,110.75,0.042,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.057,7.5115,NA,NA,NA,NA,NA,NA,NA,NA,108.85,0.043,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.045,7.5265,NA,NA,NA,NA,NA,NA,NA,NA,106.4,0.041,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.026,7.5177,NA,NA,NA,NA,NA,NA,NA,NA,105.07,0.041,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.014,7.4849,NA,NA,NA,NA,NA,NA,NA,NA,104.55,0.044,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.01,7.4811,NA,NA,NA,NA,NA,NA,NA,NA,103.74,0.045,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,-0.004,7.4968,NA,NA,NA,NA,NA,NA,NA,NA,101.46,0.042,0,0,6,6,6,6,6,6,6,6,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.011,7.4895,11.7832,98.784,42.272545,65.006,8.827,6.791,6.958,278.1768,98.318,0.039,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.029,7.4682,11.8025,98.93,40.87775,62.865,8.7995,6.725,6.96,278.5342,96.786,0.042,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.039,7.4597,11.817,99.05,41.20174,63.408,8.7702,6.8203,6.96,277.8769,96.511,0.051,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.042,7.4948,11.8218,99.166,42.635378,65.655,8.7551,7.0212,6.956,276.2515,96.01,0.059,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.05,7.5231,11.8359,99.311,42.788178,65.871,8.7586,7.1037,6.952,275.6599,93.561,0.061,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.074,7.5181,11.855,99.467,41.843548,64.354,8.7631,7.0317,6.951,276.3164,89.169,0.061,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.106,7.4903,11.877,99.617,41.496615,63.776,8.7761,6.9704,6.95,277.3924,85.956,0.062,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.126,7.4519,11.899,99.779,42.084405,64.675,8.7993,6.9096,6.944,276.8824,85.028,0.061,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.132,7.4672,11.9135,99.946,42.539843,65.369,8.811,6.8431,6.936,274.7962,84.558,0.055,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.138,7.5163,11.9202,100.104,42.242918,64.872,8.8259,6.8154,6.933,273.9359,83.61,0.044,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.15,7.541,11.9276,100.243,41.287136,63.362,8.8451,6.7795,6.934,274.9134,82.353,0.038,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.163,7.5334,11.9507,100.36,40.631026,62.362,8.8607,6.7843,6.932,276.3757,81.551,0.043,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.168,7.5247,11.9741,100.427,38.879596,59.718,8.8732,6.8394,6.927,276.817,81.277,0.053,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.173,7.5575,11.9825,100.214,33.75252,51.901,8.8799,6.8655,6.922,276.3779,80.002,0.059,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.192,7.591,11.9924,99.633,29.083261,44.815,8.875,6.8265,6.922,276.0571,76.973,0.059,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.222,7.5843,12.003,99.049,27.851291,43.046,8.8302,6.744,6.925,276.2931,74.301,0.059,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.245,7.549,12.0352,98.672,28.055061,43.471,8.771,6.7556,6.929,276.9953,73.434,0.064,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.253,7.5187,12.034,98.37,28.312146,43.935,8.758,6.8651,6.929,277.6634,73.281,0.075,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.255,7.4602,11.9503,98.031,28.485935,44.233,8.7646,6.906,6.927,278.1769,72.856,0.083,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.268,7.341,11.9069,97.564,28.697441,44.565,8.7432,6.9079,6.927,278.9875,70.872,0.087,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.304,7.2525,11.9012,96.887,28.839683,44.78,8.6992,6.9569,6.929,279.9785,67.065,0.087,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.351,7.212,11.8775,96.019,28.810316,44.734,8.6738,7.0199,6.929,280.3505,64.069,0.084,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.381,7.1905,11.8472,94.973,28.786385,44.698,8.6867,7.0889,6.929,280.3889,63.211,0.074,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.39,7.1942,11.7954,93.689,28.867476,44.819,8.6876,7.0397,6.929,280.1839,63.164,0.056,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.391,7.2018,11.7088,92.231,28.966194,44.961,8.6593,6.8357,6.93,279.7656,63.108,0.036,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.391,7.2009,11.6008,90.746,28.965094,44.952,8.6359,6.7061,6.93,281.0096,63.086,0.021,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.392,7.1965,11.4838,89.317,28.917604,44.873,8.6304,6.7359,6.929,283.5239,63.118,0.016,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.394,7.2007,11.3237,88.046,28.962888,44.933,8.6914,6.8209,6.928,284.6117,62.842,0.018,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.4,7.2129,11.1337,87.001,29.068593,45.083,8.8001,6.8444,6.928,284.698,62.06,0.021,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.411,7.2179,10.954,86.141,29.117354,45.149,8.8461,6.7812,6.928,284.3946,61.278,0.023,0,0,0,0,0,0,0,0,0,0,0,0
"FCR",50,7809,2024-02-27 14:21:00,0.421,7.2176,10.7752,85.416,29.108442,45.132,8.8486,6.7399,6.928,283.439,60.861,0.024,0,0,0,0,0,0,0,0,0,0,0,0
