date,time,DOY,Tau_kgms2,qc_Tau,H_wm2,qc_H,LE_wm2,qc_LE,co2_flux_umolm2s,qc_co2_flux,h2o_flux_umolm2s,qc_h2o_flux,ch4_flux_umolm2s,qc_ch4_flux,co2_v_adv_umolm2s,h2o_v_adv_umolm2s,ch4_v_adv_umolm2s,co2_molar_density_mmolm3,co2_mole_fraction_umolmol,co2_mixing_ratio_umolmol,co2_time_lag_s,co2_def_timelag,h2o_molar_density_mmolm3,h2o_mole_fraction_umolmol,h2o_mixing_ratio_umolmol,h2o_time_lag_s,h2o_def_timelag,ch4_molar_density_mmolm3,ch4_mole_fraction_umolmol,ch4_mixing_ratio_umolmol,ch4_time_lag_s,ch4_def_timelag,sonic_temperature_k,air_temperature_k,air_pressure_pa,air_density_kgm3,air_heat_capacity_jkkg,air_molar_volume_m3mol,ET_mmhr,water_vapor_density_kgm3,e_pa,es_pa,specific_humidity_kgkg,RH,VPD_pa,Tdew_k,wind_speed_ms,max_wind_speed_ms,wind_dir,u_star_ms,TKE_m2s2,L_m,MO_stability,bowen_ratio,scale_T_k,x_peak_m,x_offset_m,x_10_m,x_30_m,x_50_m,x_70_m,x_90_m,un_Tau_kgms2,Tau_scf,un_H_wm2,H_scf,un_LE_wm2,LE_scf,un_co2_flux_umolm2s,co2_scf,un_h2o_flux_umolm2s,h2o_scf,un_ch4_flux_umolm2s,ch4_scf,u_var_ms,v_var_ms,w_var_ms,rssi_77_mean
2024-01-01,00:00:00,1,-0.0078,0,16.7554,0,1.4039,0,1.1506,0,0.0312,0,-0.0025,0,NA,NA,NA,18.237,435.52,438.034,0.1,0,240.287,5.7383,5.7714,0.1,1,0.0933,2.0589,2.0708,0,0,273.417,273.67,95071.7,1.2076,1008.26,0.0239,0.002,0.0043,545.698,632.849,0.0036,86.2288,87.1512,271.604,1.1969,2.5833,319.952,NA,0.1827,-2.625,NA,11.9346,NA,NA,NA,NA,NA,NA,NA,NA,-0.0078,1.0116,16.6222,1.0143,1.2923,1.0864,1.0591,1.0864,0.0287,1.0864,-0.0076,1.148,0.1799,0.1627,0.0229,68.4995
2024-01-01,00:30:00,1.0208,-0.0169,0,10.373,0,2.4522,0,0.6281,0,0.0545,0,-0.0023,0,NA,NA,NA,18.1251,438.392,440.995,-0.1,0,244.039,5.9026,5.9376,0.1,1,0.0933,2.0629,2.0752,-0.1,0,273.954,274.152,95050.6,1.2052,1008.36,0.024,0.0035,0.0044,561.194,655.237,0.0037,85.6475,94.0427,271.985,1.0642,2.534,322.948,NA,0.2426,-13.4132,NA,4.2301,NA,NA,NA,NA,NA,NA,NA,NA,-0.0167,1.0125,10.3685,1.0148,2.2579,1.086,0.5783,1.086,0.0502,1.086,-0.0055,1.1482,0.2281,0.2376,0.0195,70.7647
2024-01-01,01:00:00,1.0416,-0.0161,0,12.8263,0,0.5135,2,-0.1798,2,0.0114,2,-4e-4,0,NA,NA,NA,18.185,440.634,443.258,0.1,1,244.317,5.9199,5.9552,0.1,1,0.0932,2.0592,2.0714,-0.1,0,273.883,274.111,95027.6,1.2051,1008.37,0.024,7e-4,0.0044,562.709,653.288,0.0037,86.1349,90.5793,272.022,1.3051,2.6478,318.14,NA,0.1831,-10.1501,NA,24.9781,NA,NA,NA,NA,NA,NA,NA,NA,-0.016,1.011,12.6999,1.014,0.4725,1.0868,-0.1655,1.0868,0.0105,1.0868,-0.0043,1.1479,0.197,0.1493,0.0199,71.1288
2024-01-01,01:30:00,1.0624,-0.011,0,11.5866,0,0.4055,0,-0.53,0,0.009,0,-9e-4,0,NA,NA,NA,18.2326,442.034,444.725,0.1,1,249.604,6.0514,6.0883,0.1,1,0.0929,2.0536,2.0661,0,0,273.972,274.177,95009.2,1.2045,1008.44,0.024,6e-4,0.0045,575.096,656.417,0.0038,87.6115,81.3203,272.319,1.1418,2.4358,314.471,NA,0.1502,-6.3298,NA,28.5763,NA,NA,NA,NA,NA,NA,NA,NA,-0.0109,1.0119,11.4642,1.0145,0.3733,1.0862,-0.488,1.0862,0.0083,1.0862,-0.0044,1.148,0.0973,0.1824,0.0208,69.754
2024-01-01,02:00:00,1.0833,-0.0512,1,14.9418,1,3.3431,1,-0.4636,2,0.0743,1,-9e-4,1,NA,NA,NA,18.1115,439.69,442.392,0.1,1,251.572,6.1074,6.1449,0.1,1,0.0927,2.0528,2.0655,-0.1,0,274.393,274.586,95029.1,1.2029,1008.48,0.024,0.0048,0.0046,580.534,675.991,0.0038,85.8789,95.4575,272.448,1.1866,3.1623,325.213,NA,0.4549,-49.3265,NA,4.4694,NA,105.492,-16.0088,NA,NA,NA,NA,NA,-0.0506,1.0116,14.9336,1.0143,3.0774,1.0863,-0.4267,1.0863,0.0684,1.0863,-0.0057,1.148,0.5457,0.3444,0.0197,69.1025
2024-01-01,02:30:00,1.1041,-0.0132,1,9.3195,0,4.6269,1,1.6284,0,0.1029,1,-0.0024,0,NA,NA,NA,18.0559,439,441.759,-0.1,0,256.902,6.2462,6.2854,0.1,1,0.0924,2.0507,2.0636,0,0,274.861,275.049,95044.6,1.201,1008.56,0.0241,0.0067,0.0047,593.822,698.842,0.0039,84.9723,105.02,272.758,1.185,2.9924,322.777,NA,0.3158,-10.4148,NA,2.0142,NA,NA,NA,NA,NA,NA,NA,NA,-0.0131,1.0116,9.4478,1.0143,4.2592,1.0863,1.499,1.0863,0.0947,1.0863,-0.0055,1.148,0.2636,0.347,0.021,69.156
2024-01-01,03:00:00,1.1249,-0.1618,1,-158.534,1,38.719,1,18.5926,1,0.8627,1,-0.0445,1,NA,NA,NA,17.7184,432.776,435.476,0.3,0,253.802,6.1992,6.2379,0.1,1,0.092,2.0619,2.0747,0.7,0,277.178,277.142,95058.7,1.1921,1008.57,0.0242,0.0559,0.0046,589.445,810.633,0.0039,72.7141,221.189,272.657,1.0522,5.4702,346.164,NA,1.3775,26.5108,NA,-4.0945,NA,88.0521,-13.3622,NA,NA,NA,NA,NA,-0.1603,1.0096,-154.184,1.0173,34.1325,1.1344,16.3902,1.1344,0.7605,1.1344,0.0042,1.241,0.6862,1.9697,0.099,69.8351
2024-01-01,03:30:00,1.1458,-0.081,0,-25.9616,0,26.557,0,1.5137,1,0.5928,0,-0.0012,0,NA,NA,NA,17.3522,427.57,430.103,0.1,0,239.055,5.8905,5.9254,0.1,1,0.0922,2.0852,2.0976,-0.3,0,279.138,279.163,95074.2,1.1838,1008.43,0.0244,0.0384,0.0043,560.181,933.322,0.0037,60.0201,373.141,271.96,2.212,6.0934,42.5411,NA,1.1007,57.9892,NA,-0.9776,NA,53.2546,-8.0816,NA,NA,NA,NA,NA,-0.0804,1.0077,-24.2569,1.0151,23.6033,1.1251,1.3454,1.1251,0.5269,1.1251,0.005,1.2083,0.775,1.2509,0.1755,71.0351
2024-01-01,04:00:00,1.1666,-0.0232,1,-12.4078,1,13.853,1,0.907,1,0.3092,1,-0.0012,1,NA,NA,NA,17.3566,427.984,430.524,0.1,0,239.322,5.9013,5.9363,0.1,1,0.0923,2.0867,2.0991,0.7,0,278.98,278.992,95067.1,1.1845,1008.43,0.0244,0.02,0.0044,561.168,922.317,0.0037,60.8432,361.15,271.984,1.8498000000000001,5.2769,37.5365,NA,0.6428,18.6005,NA,-0.8957,NA,NA,NA,NA,NA,NA,NA,NA,-0.023,1.0098,-11.5018,1.0196,11.9295,1.1612,0.7811,1.1612,0.2663,1.1612,0.0017,1.2739,0.5292,0.6368,0.1197,71.0432
2024-01-01,04:30:00,1.1874,-0.0424,1,-36.3891,0,24.1845,0,4.1609,0,0.5398,0,-0.0061,0,NA,NA,NA,17.3506,427.649,430.218,0.2,0,242.236,5.9705,6.0064,0.1,1,0.0924,2.0896,2.1021,-0.2,0,279.006,278.986,95041.4,1.1842,1008.47,0.0244,0.035,0.0044,567.599,921.972,0.0037,61.5636,354.373,272.14,1.5343,5.5363,30.7978,NA,0.8418,15.664,NA,-1.5046,NA,NA,NA,NA,NA,NA,NA,NA,-0.042,1.0105,-34.5208,1.0207,20.7137,1.1676,3.5637,1.1676,0.4623,1.1676,0.0036,1.2908,0.758,0.8036,0.122,70.9281
2024-01-01,05:00:00,1.2082,0.0391,1,-22.1775,1,19.6449,1,2.0685,1,0.4386,1,-0.0039,1,NA,NA,NA,17.2883,426.579,429.119,0,0,239.832,5.9177,5.9529,0.1,1,0.0926,2.0973,2.1097,-0.5,0,279.333,279.3,95047.1,1.1829,1008.45,0.0244,0.0284,0.0044,562.612,942.228,0.0037,59.7108,379.616,272.019,1.5678,4.6477,41.3194,NA,0.8669,22.7609,NA,-1.1289,NA,NA,NA,NA,NA,NA,NA,NA,0.0387,1.0093,-20.8328,1.0181,17.137,1.1463,1.8045,1.1463,0.3826,1.1463,0.0019,1.2538,0.6818,0.9199,0.132,71.0478
2024-01-01,05:30:00,1.2291,0.0208,2,-5.1559,1,11.4938,1,0.0211,2,0.2566,1,-1e-4,2,NA,NA,NA,17.2963,426.943,429.488,0.1,1,240.098,5.9266,5.9619,0.8,0,0.0929,2.104,2.1165,0.4,0,279.291,279.295,95054.3,1.183,1008.45,0.0244,0.0166,0.0044,563.498,941.903,0.0037,59.8255,378.405,272.041,1.7252,6.2473,26.9175,NA,0.8706,38.0231,NA,-0.4486,NA,NA,NA,NA,NA,NA,NA,NA,0.0206,1.0081,-4.4958,1.0156,10.2006,1.1268,0.0187,1.1268,0.2277,1.1268,7e-4,1.218,0.7618,0.8486,0.1308,70.9663
2024-01-01,06:00:00,1.2499,-0.088,1,-9.2253,1,13.4217,0,0.128,1,0.2995,0,-0.0031,1,NA,NA,NA,17.383,428.532,431.109,0,0,242.418,5.9762,6.0121,0.1,1,0.0933,2.1091,2.1218,-0.2,0,278.877,278.905,95080.1,1.185,1008.47,0.0244,0.0194,0.0044,568.369,916.777,0.0037,61.9964,348.408,272.158,1.1802,5.1103,3.9641,NA,1.2199,184.367,NA,-0.6873,NA,58.442,-8.8688,NA,NA,NA,NA,NA,-0.0873,1.008,-8.4194,1.0129,12.2167,1.0986,0.1165,1.0986,0.2727,1.0986,-8e-4,1.1762,1.2902,0.9986,0.1509,70.6479
