Reservoir,Site,DateTime,Depth_m,TLi_mgL,SLi_mgL,TNa_mgL,SNa_mgL,TMg_mgL,SMg_mgL,TAl_mgL,SAl_mgL,TSi_mgL,SSi_mgL,TK_mgL,SK_mgL,TCa_mgL,SCa_mgL,TFe_mgL,SFe_mgL,TMn_mgL,SMn_mgL,TCu_mgL,SCu_mgL,TSr_mgL,SSr_mgL,TBa_mgL,SBa_mgL,Flag_DateTime,Flag_TLi_mgL,Flag_SLi_mgL,Flag_TNa_mgL,Flag_SNa_mgL,Flag_TMg_mgL,Flag_SMg_mgL,Flag_TAl_mgL,Flag_SAl_mgL,Flag_TSi_mgL,Flag_SSi_mgL,Flag_TK_mgL,Flag_SK_mgL,Flag_TCa_mgL,Flag_SCa_mgL,Flag_TFe_mgL,Flag_SFe_mgL,Flag_TMn_mgL,Flag_SMn_mgL,Flag_TCu_mgL,Flag_SCu_mgL,Flag_TSr_mgL,Flag_SSr_mgL,Flag_TBa_mgL,Flag_SBa_mgL
FCR,50,2025-01-27 11:20:00,0.1,5e-4,5e-4,2.8137,2.8346,1.0132,1.0047,0.0244,0.0093,7.1989,7.1333,1.4497,1.4939,2.2132,2.1953,0.6074,0.1824,0.0295,0.0031,0.0012,0.0012,0.0145,0.0144,0.02,0.0187,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-27 11:38:00,1.6,5e-4,5e-4,2.826,2.8786,1.0134,1.0154,0.0221,0.0049,7.2321,7.2109,1.4571,1.4839,2.2283,2.2161,0.596,0.1428,0.0312,0.002,0.0012,0.001,0.0147,0.0145,0.0198,0.0199,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-01-27 11:47:00,3.8,5e-4,5e-4,2.884,3.0329,1.0377,1.0241,0.0201,0.0122,7.334,7.2413,1.4746,1.4986,2.2665,2.2416,0.6039,0.1602,0.0312,0.0017,0.0011,0.001,0.0147,0.0147,0.0199,0.0178,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-01-27 11:55:00,5,5e-4,5e-4,2.8609,3.0927,1.0259,1.018,0.0256,0.0137,7.2911,7.1787,1.4544,1.4825,2.2374,2.2356,0.6018,0.159,0.0313,0.0011,0.0011,0.001,0.0148,0.0146,0.0197,0.017,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
FCR,50,2025-01-27 12:04:00,6.2,5e-4,NA,2.8359,NA,1.0189,NA,0.0321,NA,7.3347,NA,1.4439,NA,2.234,NA,0.6628,NA,0.0452,NA,0.0012,NA,0.0148,NA,0.0203,NA,0,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
FCR,50,2025-01-27 12:12:00,8,5e-4,5e-4,2.839,2.8449,1.0618,1.0395,0.0278,0.0139,7.5202,7.3425,1.4307,1.4242,2.3282,2.2883,1.1001,0.2809,0.153,0.0663,0.0018,0.0012,0.0153,0.015,0.0235,0.0204,0,8,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCR,50,2025-01-27 12:18:00,9,5e-4,5e-4,2.853,2.8633,1.0864,1.0813,0.0292,0.012,7.7156,7.6573,1.4268,1.427,2.4382,2.4336,1.9024,0.6448,0.3332,0.2898,0.0025,0.0016,0.0161,0.0161,0.0282,0.0265,0,8,8,0,0,8,8,0,0,0,0,0,0,8,8,8,0,0,0,0,0,8,8,0,0
FCR,100,2025-01-27 13:05:00,0.1,5e-4,5e-4,2.5671,2.5921,0.8943,0.8865,0.054,0.0136,6.4407,6.4293,1.5572,1.5416,1.9554,1.9248,1.1924,0.6984,0.0521,0.0315,0.001,0.001,0.0134,0.0133,0.0238,0.0222,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 10:25:00,0.1,5e-4,5e-4,2.2978,2.2953,0.8373,0.8252,0.1298,0.036,6.4041,6.3756,1.1527,1.1554,1.7734,1.7434,0.5095,0.1506,0.0305,0.0094,0.001,0.001,0.0114,0.0112,0.0164,0.0149,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 10:28:00,1.6,5e-4,5e-4,2.2491,2.3033,0.8245,0.8268,0.1215,0.0399,6.3499,6.4201,1.1521,1.1604,1.7496,1.7581,0.5046,0.15,0.0302,0.0096,0.001,0.001,0.0112,0.0112,0.0165,0.015,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 10:38:00,3.8,5e-4,5e-4,2.2631,2.2735,0.8349,0.8243,0.1228,0.0704,6.4421,6.4046,1.1564,1.1695,1.7445,1.7353,0.5177,0.1714,0.0315,0.0095,0.001,0.001,0.0113,0.0113,0.0168,0.015,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 10:45:00,5,5e-4,5e-4,2.2365,2.2793,0.8303,0.8172,0.1497,0.0336,6.4373,6.3452,1.16,1.1593,1.7371,1.7229,0.5306,0.1525,0.0321,0.0094,0.001,0.001,0.0113,0.0111,0.0168,0.0147,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-02-24 10:47:00,0.1,5e-4,5e-4,2.1704,2.1655,0.7443,0.7305,0.1481,0.0351,5.5008,5.4013,1.3396,1.4403,1.4803,1.4731,1.2037,0.6438,0.1694,0.1573,0.001,0.001,0.0103,0.0102,0.0258,0.0238,0,8,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 10:55:00,6.2,5e-4,5e-4,2.29,2.3411,0.8402,0.8373,0.1312,0.0591,6.4697,6.4409,1.1767,1.1739,1.7489,1.7504,0.5429,0.1631,0.033,0.0097,0.001,0.001,0.0114,0.0114,0.0171,0.0152,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-02-24 11:02:00,3,5e-4,5e-4,2.0502,2.1208,0.7259,0.7249,0.1324,0.0304,5.4598,5.3951,1.3044,1.3566,1.4597,1.4698,1.2691,0.6346,0.1715,0.1552,0.001,0.001,0.0101,0.0101,0.0254,0.0236,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-02-24 11:08:00,6,5e-4,5e-4,2.0378,2.0777,0.7235,0.7164,0.1338,0.0314,5.5457,5.4004,1.3044,1.3127,1.4561,1.4482,1.227,0.597,0.1674,0.153,0.001,0.001,0.01,0.01,0.0251,0.023,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 11:10:00,8,5e-4,5e-4,2.2774,2.2908,0.8402,0.825,0.128,0.0379,6.4358,6.3881,1.1603,1.1595,1.7311,1.7283,0.5548,0.1576,0.0362,0.0121,0.001,0.001,0.0114,0.0112,0.017,0.0152,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-02-24 11:15:00,9,5e-4,5e-4,2.0494,2.0924,0.7283,0.7296,0.142,0.062,5.5974,5.6054,1.3177,1.3311,1.4534,1.4653,1.1955,0.6131,0.17,0.1581,0.001,0.001,0.0101,0.0102,0.0255,0.0249,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-02-24 11:15:00,9,5e-4,5e-4,2.2769,2.7989,0.835,0.8463,0.1254,0.0322,6.5633,6.447,1.1626,1.1065,1.7368,1.8037,0.5763,0.1583,0.0378,0.0147,0.001,0.001,0.0113,0.0114,0.0171,0.0128,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,200,2025-02-24 12:00:00,0.1,5e-4,5e-4,2.8013,2.8138,0.8423,0.8367,0.111,0.0356,9.3005,9.2904,0.849,0.8478,1.6662,1.6525,0.4302,0.2049,0.009,0.0091,0.001,0.001,0.0104,0.0105,0.0138,0.0134,1,8,8,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,100,2025-02-24 13:38:00,0.1,5e-4,5e-4,2.1717,2.5845,0.7424,0.7365,0.1275,0.0324,5.9135,5.7948,1.348,1.3046,1.5583,1.5687,1.0515,0.5198,0.0748,0.0524,0.001,0.001,0.0106,0.0105,0.0216,0.0152,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 10:15:00,0.1,5e-4,5e-4,2.1028,2.4223,0.7178,0.7181,0.0725,0.0255,5.42,5.3245,1.2961,1.2672,1.4288,1.4753,0.9729,0.5563,0.147,0.1411,0.001,0.001,0.0099,0.01,0.0248,0.0197,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 10:20:00,3,5e-4,5e-4,2.118,2.4402,0.7217,0.7234,0.0761,0.0267,5.4511,5.395,1.2884,1.2891,1.4392,1.4803,1.0008,0.5515,0.1471,0.14,0.001,0.001,0.01,0.01,0.0247,0.0191,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 10:25:00,6,5e-4,5e-4,2.1035,2.3989,0.7139,0.7289,0.0833,0.0341,5.4525,5.3699,1.2835,1.308,1.4292,1.466,1.0169,0.5702,0.1475,0.142,0.001,0.001,0.0099,0.0099,0.0247,0.0201,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
BVR,50,2025-03-10 12:00:00,9,5e-4,5e-4,2.1166,2.1037,0.7243,0.7059,0.0708,0.0368,5.449,5.3851,1.2838,1.2775,1.4364,1.4181,1.0049,0.5628,0.1498,0.1271,0.001,0.001,0.01,0.0098,0.0248,0.0231,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,100,2025-03-10 12:00:00,0.1,NA,5e-4,NA,2.2072,NA,0.711,NA,0.0208,NA,5.7217,NA,1.2678,NA,1.4801,NA,0.4183,NA,0.0249,NA,0.001,NA,0.0101,NA,0.0179,1,1,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,3,1,0,1,0
FCR,50,2025-03-10 13:18:00,0.1,5e-4,5e-4,2.3422,2.3537,0.8176,0.8074,0.0584,0.0296,6.3318,6.3656,1.1674,1.1626,1.7239,1.692,0.4345,0.1693,0.0181,0.0027,0.001,0.001,0.0112,0.0111,0.0164,0.0154,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:27:00,1.6,5e-4,5e-4,2.3334,2.3814,0.8236,0.8091,0.0742,0.0332,6.4148,6.3724,1.1605,1.1695,1.7246,1.6898,0.4371,0.1803,0.0186,0.0036,0.001,0.001,0.0112,0.011,0.0165,0.0149,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
FCR,50,2025-03-10 13:37:00,3.8,5e-4,5e-4,2.3492,2.3764,0.8189,0.8138,0.0602,0.0238,6.3809,6.4034,1.1607,1.1723,1.7105,1.7077,0.4309,0.1606,0.0181,0.0021,0.001,0.001,0.0113,0.0112,0.0165,0.0155,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
